AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,Class
-66,-63,-58,-59,-57,-55,-54,-59,9
-62,-63,-58,-60,-59,-56,-53,-61,9
-59,-62,-59,-61,-57,-54,-51,-59,9
-60,-61,-60,-60,-57,-55,-50,-63,9
-61,-60,-58,-56,-57,-55,-53,-61,9
-59,-62,-57,-59,-59,-55,-50,-58,9
-60,-59,-58,-59,-59,-56,-51,-61,9
-59,-61,-59,-59,-58,-56,-50,-61,9
-61,-63,-59,-59,-59,-55,-51,-61,9
-61,-62,-57,-56,-58,-55,-50,-61,9
-61,-63,-58,-58,-60,-52,-50,-60,9
-60,-62,-58,-57,-57,-55,-51,-62,9
-60,-63,-58,-59,-60,-54,-51,-62,9
-62,-61,-59,-58,-56,-56,-52,-63,9
-63,-62,-59,-60,-59,-54,-52,-65,9
-60,-62,-59,-59,-58,-57,-52,-64,9
-60,-62,-59,-57,-57,-55,-51,-65,9
-61,-58,-61,-61,-66,-54,-65,-53,9
-60,-60,-60,-62,-68,-51,-72,-51,9
-58,-57,-58,-60,-68,-53,-73,-53,9
-55,-60,-60,-58,-64,-53,-69,-53,9
-56,-58,-61,-62,-65,-53,-68,-53,9
-59,-57,-60,-62,-68,-53,-67,-53,9
-59,-61,-59,-62,-70,-55,-66,-52,9
-58,-56,-56,-60,-69,-52,-66,-52,9
-58,-57,-60,-60,-64,-54,-66,-56,9
-59,-56,-63,-61,-67,-56,-71,-56,9
-59,-56,-65,-61,-66,-52,-67,-56,9
-68,-69,-65,-59,-63,-50,-57,-47,10
-66,-70,-64,-59,-65,-50,-55,-49,10
-68,-70,-64,-58,-67,-51,-55,-49,10
-67,-69,-65,-57,-64,-50,-56,-48,10
-68,-70,-67,-59,-65,-52,-56,-48,10
-71,-68,-60,-60,-63,-51,-57,-49,10
-66,-70,-64,-58,-62,-50,-56,-48,10
-69,-69,-65,-65,-64,-50,-57,-49,10
-69,-71,-65,-58,-64,-50,-59,-48,10
-72,-70,-62,-58,-65,-56,-59,-48,10
-69,-71,-65,-59,-65,-50,-57,-48,10
-62,-71,-70,-57,-62,-46,-58,-52,10
-63,-76,-63,-57,-60,-57,-58,-50,10
-60,-78,-63,-56,-65,-47,-59,-50,10
-58,-76,-61,-61,-62,-50,-56,-50,10
-62,-77,-62,-60,-59,-48,-57,-51,10
-59,-76,-62,-63,-66,-48,-59,-50,10
-60,-75,-62,-56,-62,-48,-59,-50,10
-61,-75,-60,-57,-62,-49,-59,-51,10
-61,-77,-63,-55,-63,-49,-59,-50,10
-61,-77,-62,-58,-63,-49,-59,-50,10
-61,-77,-62,-58,-62,-49,-58,-50,10
-65,-75,-64,-60,-62,-49,-58,-50,10
-62,-73,-66,-59,-60,-48,-58,-51,10
-60,-65,-64,-59,-54,-49,-58,-54,10
-61,-69,-58,-58,-52,-48,-60,-55,10
-60,-70,-60,-58,-57,-49,-58,-58,10
-60,-69,-58,-56,-54,-49,-58,-58,10
-58,-68,-60,-59,-53,-51,-59,-57,10
-61,-72,-60,-57,-53,-51,-59,-56,10
-61,-71,-59,-57,-55,-50,-59,-58,10
-60,-74,-59,-59,-54,-46,-60,-61,10
-60,-71,-62,-54,-56,-48,-64,-58,10
-59,-71,-63,-56,-56,-48,-59,-59,10
-61,-69,-61,-57,-54,-50,-59,-60,10
-62,-69,-60,-56,-56,-51,-63,-60,10
-61,-69,-59,-57,-56,-48,-60,-54,10
-61,-65,-60,-58,-54,-51,-61,-56,10
-64,-66,-59,-58,-53,-52,-60,-58,10
-57,-63,-77,-65,-61,-55,-63,-49,10
-60,-63,-65,-61,-63,-52,-62,-51,10
-60,-62,-68,-61,-59,-51,-63,-51,10
-62,-59,-66,-62,-60,-52,-58,-50,10
-60,-62,-69,-61,-57,-51,-58,-50,10
-59,-61,-69,-60,-58,-53,-58,-50,10
-57,-60,-69,-63,-60,-52,-60,-50,10
-60,-60,-74,-64,-60,-53,-58,-51,10
-59,-64,-69,-64,-58,-52,-59,-52,10
-58,-58,-71,-62,-58,-55,-59,-51,10
-60,-59,-65,-62,-58,-54,-63,-50,10
-72,-52,-52,-64,-65,-60,-60,-71,11
-73,-50,-54,-62,-64,-60,-60,-76,11
-73,-52,-53,-61,-64,-60,-59,-72,11
-73,-54,-53,-60,-65,-60,-61,-75,11
-75,-54,-52,-61,-64,-63,-60,-74,11
-74,-56,-51,-58,-64,-63,-60,-75,11
-73,-52,-52,-58,-64,-61,-62,-70,11
-74,-54,-52,-59,-63,-64,-56,-69,11
-74,-59,-51,-59,-64,-62,-59,-70,11
-75,-54,-52,-58,-63,-62,-61,-68,11
-75,-54,-52,-59,-64,-61,-60,-72,11
-75,-59,-53,-59,-59,-61,-61,-70,11
-75,-55,-51,-62,-63,-58,-59,-70,11
-71,-57,-52,-60,-63,-61,-60,-69,11
-73,-48,-58,-66,-71,-60,-64,-59,11
-73,-52,-58,-66,-70,-63,-64,-58,11
-71,-50,-65,-64,-65,-62,-64,-58,11
-73,-52,-66,-64,-70,-62,-77,-58,11
-70,-50,-63,-65,-68,-63,-64,-58,11
-70,-51,-62,-66,-69,-64,-64,-60,11
-73,-49,-63,-67,-68,-60,-66,-59,11
-74,-49,-62,-69,-67,-64,-62,-60,11
-73,-50,-60,-68,-68,-64,-62,-59,11
-71,-50,-60,-65,-68,-64,-62,-59,11
-76,-52,-60,-66,-67,-62,-61,-60,11
-70,-51,-59,-66,-66,-64,-62,-60,11
-71,-51,-61,-63,-74,-62,-66,-61,11
-73,-50,-61,-66,-67,-62,-60,-60,11
-69,-49,-62,-61,-55,-59,-71,-52,11
-71,-46,-61,-54,-56,-58,-71,-54,11
-66,-47,-63,-55,-54,-57,-71,-54,11
-69,-46,-63,-53,-55,-57,-71,-58,11
-64,-46,-60,-53,-54,-61,-74,-54,11
-68,-47,-59,-53,-56,-55,-71,-57,11
-63,-46,-61,-54,-56,-56,-70,-54,11
-66,-46,-61,-54,-53,-59,-69,-55,11
-67,-50,-59,-53,-56,-56,-68,-55,11
-66,-47,-60,-53,-56,-58,-68,-55,11
-64,-48,-58,-53,-56,-57,-68,-55,11
-67,-48,-64,-54,-56,-56,-66,-55,11
-67,-47,-62,-53,-53,-54,-70,-57,11
-66,-47,-64,-54,-55,-56,-66,-55,11
-67,-47,-63,-52,-57,-59,-69,-55,11
-67,-46,-60,-54,-57,-57,-67,-55,11
-66,-46,-63,-53,-58,-57,-66,-55,11
-67,-51,-63,-56,-57,-57,-68,-55,11
-67,-48,-58,-53,-60,-56,-69,-52,11
-63,-67,-55,-56,-53,-65,-64,-57,11
-64,-67,-56,-59,-54,-64,-60,-57,11
-64,-67,-57,-64,-54,-66,-62,-57,11
-66,-57,-59,-61,-59,-69,-63,-61,12
-67,-56,-58,-63,-60,-67,-64,-66,12
-67,-56,-61,-69,-60,-69,-62,-67,12
-66,-56,-59,-65,-60,-66,-65,-65,12
-66,-56,-55,-57,-63,-65,-67,-63,12
-66,-55,-60,-62,-62,-63,-66,-64,12
-67,-56,-57,-66,-60,-65,-65,-65,12
-67,-57,-58,-60,-62,-66,-65,-65,12
-65,-56,-56,-65,-60,-66,-68,-64,12
-67,-56,-59,-59,-60,-65,-62,-70,12
-64,-56,-59,-65,-62,-64,-59,-66,12
-67,-57,-59,-66,-58,-69,-60,-67,12
-67,-57,-59,-60,-60,-68,-61,-68,12
-67,-56,-59,-67,-64,-69,-64,-67,12
-68,-56,-61,-65,-59,-71,-62,-66,12
-59,-62,-60,-56,-67,-64,-63,-69,12
-62,-62,-61,-58,-64,-59,-64,-63,12
-59,-61,-59,-59,-65,-65,-65,-65,12
-60,-63,-59,-61,-64,-65,-65,-65,12
-57,-64,-60,-57,-59,-64,-67,-65,12
-60,-65,-61,-57,-60,-64,-68,-66,12
-59,-61,-62,-57,-62,-63,-66,-65,12
-61,-60,-61,-55,-65,-64,-65,-65,12
-60,-61,-61,-56,-62,-61,-65,-64,12
-60,-62,-61,-57,-70,-62,-66,-64,12
-60,-62,-62,-54,-68,-61,-65,-65,12
-60,-66,-61,-54,-68,-63,-66,-65,12
-60,-65,-61,-54,-66,-63,-67,-65,12
-61,-64,-61,-55,-68,-62,-64,-66,12
-64,-57,-58,-55,-64,-56,-58,-69,12
-65,-56,-57,-53,-62,-55,-58,-69,12
-62,-56,-58,-54,-60,-55,-59,-68,12
-64,-55,-57,-53,-64,-53,-57,-73,12
-64,-56,-60,-52,-67,-56,-60,-72,12
-61,-59,-58,-52,-67,-57,-60,-72,12
-64,-64,-60,-53,-66,-57,-59,-69,12
-61,-56,-60,-52,-64,-59,-58,-74,12
-63,-56,-59,-52,-67,-57,-58,-74,12
-62,-59,-59,-52,-65,-58,-60,-74,12
-61,-57,-57,-53,-63,-55,-58,-74,12
-63,-58,-57,-51,-64,-57,-61,-75,12
-60,-58,-55,-54,-65,-55,-58,-72,12
-64,-58,-60,-53,-66,-53,-60,-80,12
-62,-59,-59,-54,-68,-56,-59,-75,12
-64,-57,-59,-53,-66,-59,-59,-76,12
-64,-58,-60,-55,-68,-56,-59,-74,12
-74,-68,-59,-64,-58,-64,-56,-67,12
-62,-60,-59,-64,-61,-63,-55,-72,12
-68,-63,-62,-65,-61,-63,-54,-72,12
-68,-62,-68,-65,-63,-63,-56,-70,12
-67,-62,-69,-55,-56,-66,-55,-62,13
-66,-60,-68,-57,-56,-64,-56,-57,13
-64,-63,-66,-55,-59,-63,-52,-60,13
-66,-60,-67,-57,-57,-64,-55,-61,13
-66,-62,-67,-55,-57,-62,-53,-61,13
-65,-64,-63,-56,-57,-59,-52,-61,13
-65,-61,-66,-55,-57,-59,-52,-61,13
-73,-61,-70,-57,-56,-52,-66,-60,13
-65,-65,-65,-57,-56,-52,-67,-58,13
-68,-59,-67,-60,-56,-51,-63,-59,13
-74,-62,-73,-56,-56,-49,-63,-60,13
-75,-62,-69,-58,-57,-52,-67,-59,13
-72,-60,-62,-60,-55,-53,-66,-63,13
-72,-61,-69,-60,-56,-53,-68,-62,13
-80,-63,-65,-57,-57,-52,-66,-61,13
-76,-59,-66,-58,-57,-52,-67,-60,13
-79,-61,-68,-56,-57,-52,-72,-59,13
-76,-62,-64,-56,-57,-52,-69,-59,13
-64,-67,-67,-60,-54,-60,-58,-60,13
-65,-61,-65,-59,-52,-63,-59,-60,13
-65,-62,-67,-62,-52,-69,-59,-57,13
-65,-59,-68,-63,-53,-68,-58,-68,13
-65,-62,-66,-61,-56,-66,-59,-57,13
-64,-67,-66,-62,-53,-63,-56,-58,13
-59,-61,-66,-59,-55,-67,-56,-62,13
-64,-64,-66,-61,-55,-66,-60,-57,13
-66,-64,-65,-60,-54,-62,-59,-63,13
-64,-65,-66,-60,-55,-65,-59,-59,13
-66,-65,-64,-61,-56,-65,-59,-57,13
-65,-67,-65,-61,-54,-65,-56,-59,13
-65,-66,-69,-60,-56,-67,-59,-61,13
-64,-64,-68,-65,-50,-64,-60,-59,13
-64,-62,-67,-64,-52,-66,-58,-56,13
-66,-60,-64,-54,-57,-53,-55,-67,13
-67,-61,-59,-53,-57,-51,-55,-66,13
-67,-62,-59,-52,-55,-54,-57,-65,13
-63,-60,-59,-52,-57,-60,-57,-67,13
-62,-60,-60,-54,-56,-53,-57,-69,13
-66,-61,-60,-53,-58,-54,-57,-69,13
-61,-60,-58,-50,-56,-55,-56,-69,13
-64,-62,-60,-55,-57,-52,-57,-68,13
-64,-61,-61,-53,-55,-54,-57,-67,13
-62,-61,-63,-53,-55,-54,-57,-67,13
-67,-66,-62,-52,-55,-53,-59,-70,13
-68,-60,-58,-52,-56,-53,-58,-67,13
-66,-64,-57,-52,-55,-52,-57,-69,13
-67,-63,-60,-52,-55,-53,-57,-67,13
-65,-65,-60,-52,-58,-50,-57,-68,13
-65,-61,-61,-52,-53,-52,-58,-68,13
-65,-59,-57,-53,-55,-52,-56,-66,13
-65,-66,-57,-59,-62,-54,-57,-57,14
-67,-66,-58,-61,-61,-55,-57,-54,14
-68,-66,-58,-62,-61,-55,-58,-57,14
-67,-65,-59,-59,-60,-53,-57,-56,14
-66,-67,-56,-58,-58,-55,-58,-53,14
-61,-64,-57,-57,-59,-57,-58,-57,14
-62,-69,-59,-58,-55,-54,-58,-56,14
-66,-67,-58,-61,-57,-56,-57,-57,14
-66,-68,-56,-63,-64,-51,-58,-54,14
-66,-66,-56,-61,-65,-52,-55,-52,14
-69,-67,-55,-65,-64,-57,-57,-54,14
-66,-65,-56,-60,-64,-52,-57,-55,14
-64,-68,-55,-61,-65,-54,-57,-54,14
-65,-70,-55,-59,-59,-52,-57,-53,14
-65,-70,-55,-59,-69,-51,-57,-55,14
-65,-70,-56,-60,-66,-52,-58,-56,14
-67,-70,-56,-60,-63,-52,-57,-56,14
-67,-65,-54,-67,-66,-51,-58,-67,14
-67,-63,-55,-61,-69,-53,-59,-56,14
-66,-67,-56,-57,-64,-52,-58,-56,14
-67,-69,-55,-59,-63,-54,-58,-68,14
-63,-64,-57,-58,-60,-58,-64,-59,14
-60,-64,-60,-58,-57,-61,-60,-63,14
-63,-63,-59,-54,-59,-58,-62,-63,14
-61,-64,-70,-57,-57,-58,-64,-62,14
-62,-63,-60,-59,-58,-55,-64,-62,14
-62,-64,-61,-60,-57,-56,-64,-61,14
-63,-65,-59,-60,-60,-59,-64,-63,14
-61,-62,-60,-56,-62,-59,-64,-62,14
-62,-64,-60,-57,-60,-57,-66,-63,14
-63,-64,-61,-63,-55,-55,-64,-63,14
-63,-64,-60,-57,-60,-56,-64,-63,14
-63,-63,-60,-60,-60,-54,-64,-60,14
-61,-63,-58,-62,-59,-59,-65,-62,14
-63,-63,-60,-65,-58,-57,-64,-62,14
-59,-63,-60,-61,-57,-59,-63,-63,14
-67,-69,-61,-59,-60,-51,-63,-60,14
-72,-66,-64,-57,-58,-53,-66,-64,14
-73,-66,-60,-58,-58,-53,-63,-65,14
-69,-64,-63,-58,-59,-51,-59,-66,14
-71,-68,-59,-60,-59,-50,-58,-65,14
-71,-67,-62,-58,-57,-52,-61,-64,14
-69,-67,-64,-55,-56,-52,-63,-61,14
-72,-67,-63,-58,-56,-54,-62,-60,14
-71,-69,-61,-56,-54,-50,-66,-62,14
-71,-66,-61,-57,-58,-50,-58,-63,14
-69,-66,-60,-56,-56,-50,-61,-62,14
-71,-67,-64,-57,-56,-59,-63,-67,14
-70,-66,-62,-59,-55,-51,-65,-67,14
-72,-67,-63,-57,-56,-52,-63,-68,14
-72,-71,-63,-57,-63,-38,-63,-54,15
-66,-66,-66,-57,-58,-40,-61,-54,15
-67,-66,-63,-58,-55,-40,-62,-52,15
-69,-67,-59,-56,-57,-39,-60,-52,15
-71,-66,-65,-57,-55,-39,-60,-52,15
-68,-65,-65,-59,-56,-39,-63,-54,15
-68,-66,-64,-57,-56,-38,-59,-53,15
-69,-67,-64,-61,-58,-40,-60,-57,15
-66,-61,-66,-65,-66,-41,-61,-50,15
-65,-60,-67,-64,-62,-40,-66,-50,15
-65,-62,-66,-61,-66,-40,-64,-52,15
-64,-60,-66,-65,-68,-41,-63,-52,15
-65,-59,-67,-60,-64,-41,-62,-50,15
-66,-61,-66,-65,-61,-40,-61,-52,15
-66,-61,-67,-67,-65,-41,-62,-52,15
-67,-60,-66,-67,-70,-42,-64,-53,15
-64,-61,-66,-66,-69,-42,-64,-52,15
-64,-60,-65,-69,-62,-40,-64,-51,15
-64,-59,-65,-68,-63,-39,-65,-53,15
-65,-64,-67,-71,-63,-41,-64,-50,15
-63,-64,-65,-70,-60,-40,-61,-49,15
-65,-64,-67,-68,-63,-41,-62,-51,15
-64,-63,-66,-73,-59,-41,-68,-52,15
-69,-65,-74,-66,-54,-36,-59,-55,15
-67,-64,-73,-71,-53,-36,-56,-57,15
-69,-62,-67,-69,-56,-37,-55,-58,15
-71,-62,-64,-66,-54,-36,-54,-57,15
-70,-63,-64,-70,-54,-35,-57,-58,15
-70,-63,-63,-65,-55,-35,-57,-59,15
-69,-63,-65,-67,-54,-35,-53,-55,15
-72,-63,-66,-67,-55,-36,-58,-58,15
-71,-64,-63,-72,-51,-35,-56,-54,15
-71,-63,-60,-69,-54,-36,-56,-58,15
-73,-65,-63,-62,-55,-37,-56,-57,15
-72,-64,-60,-68,-54,-36,-56,-56,15
-71,-64,-66,-66,-54,-36,-56,-56,15
-73,-68,-73,-66,-59,-39,-57,-62,15
-75,-67,-67,-63,-58,-38,-66,-53,15
-73,-61,-69,-63,-58,-41,-58,-51,15
-75,-62,-68,-55,-64,-39,-61,-52,15
-77,-62,-67,-58,-57,-41,-54,-52,15
-74,-63,-67,-60,-60,-41,-57,-51,15
-72,-61,-67,-61,-57,-42,-57,-52,15
-74,-61,-67,-64,-58,-41,-53,-52,15
-74,-61,-65,-59,-59,-40,-55,-52,15
-73,-61,-70,-62,-61,-40,-57,-53,15
-76,-62,-71,-58,-59,-39,-56,-52,15
-75,-62,-71,-64,-58,-39,-56,-53,15
-75,-61,-68,-62,-59,-38,-57,-54,15
-77,-61,-67,-62,-59,-39,-56,-51,15
-66,-70,-55,-59,-62,-67,-56,-63,16
-60,-66,-53,-55,-62,-70,-61,-74,16
-64,-61,-52,-65,-61,-66,-58,-67,16
-60,-58,-53,-57,-62,-70,-59,-66,16
-67,-56,-53,-55,-62,-66,-58,-66,16
-66,-59,-55,-55,-61,-67,-58,-67,16
-67,-61,-51,-59,-57,-69,-58,-76,16
-62,-67,-51,-54,-63,-67,-58,-73,16
-60,-64,-52,-57,-61,-68,-57,-75,16
-61,-61,-57,-57,-59,-66,-55,-71,16
-64,-65,-50,-57,-67,-68,-58,-63,16
-70,-62,-49,-55,-66,-66,-62,-62,16
-65,-66,-51,-61,-62,-69,-59,-62,16
-66,-65,-50,-57,-63,-67,-60,-60,16
-68,-64,-51,-57,-63,-71,-60,-65,16
-67,-66,-50,-60,-65,-73,-59,-65,16
-66,-67,-50,-60,-63,-74,-54,-66,16
-67,-62,-50,-58,-66,-73,-60,-66,16
-66,-68,-50,-55,-68,-67,-58,-65,16
-70,-64,-49,-57,-67,-66,-58,-65,16
-63,-70,-49,-57,-62,-73,-59,-66,16
-66,-69,-51,-58,-63,-72,-58,-63,16
-70,-67,-50,-56,-64,-72,-59,-64,16
-69,-61,-57,-62,-55,-55,-57,-72,16
-69,-74,-59,-61,-57,-55,-54,-69,16
-66,-61,-58,-60,-58,-57,-56,-65,16
-65,-62,-57,-62,-56,-56,-56,-63,16
-67,-62,-60,-59,-57,-56,-55,-61,16
-63,-63,-59,-64,-54,-57,-56,-62,16
-67,-61,-61,-64,-57,-56,-57,-62,16
-65,-63,-59,-63,-57,-57,-57,-61,16
-67,-62,-59,-61,-57,-57,-56,-58,16
-64,-63,-58,-60,-57,-54,-55,-57,16
-63,-62,-60,-60,-58,-55,-55,-64,16
-68,-63,-61,-61,-59,-57,-57,-64,16
-64,-62,-58,-61,-64,-53,-59,-64,16
-64,-61,-55,-59,-62,-56,-59,-64,16
-68,-61,-54,-56,-61,-59,-59,-64,16
-68,-63,-53,-58,-70,-55,-55,-58,16
-67,-63,-51,-57,-62,-57,-57,-65,16
-67,-63,-50,-57,-62,-56,-59,-65,16
-70,-67,-50,-54,-59,-58,-59,-67,16
-67,-59,-60,-55,-63,-56,-73,-66,16
-68,-63,-60,-57,-60,-58,-72,-69,16
-65,-70,-60,-58,-63,-56,-68,-68,16
-66,-72,-58,-55,-66,-57,-68,-69,16
-68,-67,-61,-57,-66,-58,-78,-67,16
-65,-67,-57,-56,-65,-59,-69,-68,16
-66,-69,-58,-57,-66,-58,-71,-66,16
-70,-66,-58,-55,-64,-58,-70,-68,16
-64,-58,-51,-54,-65,-69,-55,-63,17
-63,-58,-50,-52,-69,-67,-57,-63,17
-65,-58,-51,-53,-64,-67,-55,-64,17
-61,-59,-51,-53,-66,-68,-56,-64,17
-64,-59,-51,-50,-65,-65,-56,-64,17
-63,-59,-51,-51,-62,-67,-57,-65,17
-62,-60,-51,-52,-63,-66,-57,-69,17
-61,-59,-52,-55,-66,-70,-57,-68,17
-63,-62,-50,-52,-64,-67,-59,-68,17
-70,-64,-61,-53,-56,-55,-65,-63,17
-64,-64,-56,-52,-56,-58,-62,-67,17
-61,-65,-57,-53,-58,-59,-63,-67,17
-61,-66,-57,-55,-60,-59,-62,-67,17
-61,-62,-57,-53,-60,-58,-61,-67,17
-61,-66,-58,-54,-59,-57,-62,-68,17
-61,-63,-58,-56,-71,-58,-61,-77,17
-61,-64,-57,-56,-60,-59,-62,-67,17
-61,-66,-59,-55,-60,-58,-64,-67,17
-61,-67,-57,-55,-59,-58,-62,-68,17
-63,-68,-57,-54,-60,-58,-64,-68,17
-64,-67,-58,-55,-61,-59,-63,-66,17
-62,-67,-59,-55,-60,-58,-63,-66,17
-63,-66,-58,-54,-60,-59,-63,-68,17
-63,-63,-58,-53,-60,-59,-62,-67,17
-61,-60,-56,-55,-61,-60,-67,-66,17
-60,-67,-58,-56,-59,-55,-63,-68,17
-65,-66,-57,-53,-59,-56,-63,-66,17
-64,-63,-60,-56,-60,-50,-66,-70,17
-65,-65,-64,-60,-57,-53,-66,-72,17
-61,-65,-65,-57,-58,-54,-68,-70,17
-64,-63,-66,-57,-58,-55,-63,-69,17
-64,-65,-60,-57,-58,-51,-64,-71,17
-61,-66,-65,-57,-56,-52,-63,-71,17
-62,-65,-63,-58,-56,-51,-64,-61,17
-64,-65,-65,-55,-60,-52,-64,-64,17
-61,-65,-63,-58,-57,-51,-62,-64,17
